Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,419.0,1915.0,1051.0,2659.0,1672.0,747.0,826.0,0.0,14298.0,18433.0,627.0,0.0,3310.0,1874.0,704.0,357.0,4216.0,2837.0,0.0,493.0,445.0,2231.0,915.0,7653.0,1851.0,76.0,756.0,97.0,0.0,1213.0,58.0,3226.0,2224.0,0.0,1299.0,931.0,0.0,1771.0,0.0,1218.0,281.0,12228.0,5719.0,79.0,0.0,5221.0,2125.0,176.0,996.0,74.0
Alaska,518.0,,910.0,722.0,3455.0,1847.0,0.0,0.0,74.0,1172.0,565.0,1029.0,497.0,1024.0,165.0,26.0,800.0,162.0,83.0,16.0,548.0,170.0,791.0,586.0,330.0,938.0,534.0,413.0,2013.0,0.0,335.0,489.0,380.0,1676.0,210.0,176.0,184.0,1896.0,111.0,38.0,389.0,175.0,171.0,2322.0,410.0,5.0,654.0,2558.0,0.0,340.0,192.0
Arizona,2801.0,2743.0,,1487.0,68516.0,11517.0,503.0,49.0,26.0,6701.0,3149.0,591.0,2733.0,13247.0,2555.0,3049.0,3802.0,1265.0,1416.0,353.0,2955.0,1299.0,4477.0,6206.0,1780.0,4476.0,1419.0,1663.0,8057.0,1500.0,4084.0,6866.0,5281.0,6587.0,2169.0,6322.0,2530.0,13697.0,3692.0,323.0,2252.0,913.0,1291.0,20245.0,5828.0,37.0,4956.0,17560.0,29.0,7788.0,929.0
Arkansas,438.0,413.0,602.0,,3728.0,3255.0,159.0,126.0,0.0,3966.0,929.0,468.0,0.0,3359.0,1241.0,119.0,1072.0,831.0,2311.0,27.0,470.0,139.0,584.0,196.0,2568.0,9400.0,76.0,76.0,84.0,156.0,277.0,214.0,139.0,638.0,225.0,857.0,8490.0,254.0,860.0,0.0,121.0,146.0,5492.0,15531.0,712.0,0.0,900.0,1328.0,72.0,130.0,0.0
California,4591.0,2155.0,33670.0,2573.0,,18755.0,6366.0,1143.0,5063.0,22464.0,11753.0,12848.0,4224.0,22165.0,6313.0,2461.0,4826.0,2010.0,4441.0,1294.0,11042.0,17529.0,10335.0,6221.0,2393.0,7981.0,2481.0,3619.0,22433.0,682.0,11666.0,3822.0,34848.0,11400.0,1909.0,13999.0,4901.0,24050.0,11848.0,1738.0,4896.0,1296.0,8060.0,37810.0,9440.0,1641.0,17725.0,38007.0,1246.0,5364.0,1526.0
Colorado,3597.0,2102.0,7987.0,1442.0,28288.0,,1498.0,190.0,1119.0,14017.0,8239.0,3356.0,1268.0,7783.0,2945.0,2385.0,5071.0,2754.0,1216.0,912.0,3454.0,3949.0,4253.0,5208.0,597.0,6803.0,3731.0,6025.0,3455.0,183.0,1780.0,11444.0,6362.0,6336.0,1118.0,3169.0,5956.0,2890.0,4701.0,706.0,3203.0,2176.0,1444.0,26930.0,4833.0,1043.0,9260.0,6686.0,238.0,3100.0,1951.0
Connecticut,1054.0,8.0,1204.0,51.0,3870.0,1105.0,,1015.0,506.0,4563.0,2606.0,472.0,0.0,1513.0,237.0,86.0,79.0,233.0,597.0,1342.0,1182.0,7630.0,819.0,106.0,0.0,69.0,35.0,0.0,149.0,939.0,4573.0,0.0,27361.0,1145.0,0.0,1410.0,172.0,642.0,3446.0,2136.0,1811.0,0.0,743.0,4044.0,1305.0,595.0,2294.0,1062.0,181.0,328.0,0.0
Delaware,39.0,0.0,115.0,0.0,551.0,0.0,487.0,,136.0,1122.0,118.0,0.0,0.0,191.0,50.0,205.0,747.0,94.0,468.0,101.0,5639.0,481.0,153.0,0.0,148.0,0.0,0.0,86.0,0.0,157.0,6112.0,30.0,2907.0,586.0,167.0,446.0,0.0,0.0,9991.0,187.0,470.0,0.0,103.0,378.0,99.0,305.0,1458.0,0.0,124.0,0.0,0.0
District of Columbia ,174.0,0.0,204.0,0.0,3803.0,336.0,262.0,182.0,,1789.0,647.0,124.0,0.0,1066.0,146.0,162.0,0.0,110.0,0.0,61.0,12735.0,1664.0,486.0,143.0,146.0,201.0,92.0,0.0,36.0,130.0,2382.0,0.0,4642.0,1026.0,0.0,1592.0,0.0,80.0,1617.0,87.0,408.0,0.0,690.0,1036.0,215.0,213.0,7773.0,387.0,294.0,346.0,68.0
Florida,12870.0,1388.0,4542.0,3239.0,26888.0,15746.0,18291.0,4124.0,983.0,,35350.0,3008.0,1594.0,27622.0,11784.0,3538.0,2970.0,11330.0,4389.0,2783.0,15173.0,20314.0,20852.0,6820.0,2984.0,9774.0,1007.0,3893.0,3772.0,5137.0,30105.0,2558.0,63033.0,26708.0,1485.0,22452.0,3190.0,3639.0,31712.0,4219.0,15250.0,3062.0,13285.0,24197.0,3558.0,1723.0,31798.0,9045.0,5760.0,7573.0,744.0
